company_name|osha_company_name|annual_average_employees|total_hours_worked|ein|stripped_company_name|pitchbook_list_company_name|pitchbook_list_website|top100_company_name|nrca_list_company_name
CLEAN ROOFING|CLEAN ROOFING|49|81203|822725602|clean roofing||||
CMR CONSTRUCTION  ROOFING, LLC|CMR CONSTRUCTION  ROOFING, LLC|156|258604|710873844|cmr construction roofing||||
CMR Construction and Roofing|CMR Construction and Roofing|87|174951|718073844|cmr construction & roofing|CMR Construction & Roofing|www.cmrconstruction.com||CMR Construction & Roofing
COBICA international Corp|COBICA international Corp|60|43881||cobica||||
COMMERCIAL ROOFING LLC|COMMERCIAL ROOFING LLC|37|74947|850457633|commercial roofing|Commercial Roofing Services|aquagard-roofing.co.uk||Commercial Roofing Systems Inc.
CONSTRUCTION METAL SERVICES LLC|CONSTRUCTION METAL SERVICES LLC|15|30526|933411168|construction metal||||
CP Rankin, Inc.|CP Rankin, Inc.|95|185420|260311486|cp rankin|||CP Rankin, Inc.|
CRAWFORD ROOFING INC.|CRAWFORD ROOFING INC.|41|52121|730951924|crawford roofing||||Crawford Roofing Inc.
CSR Roofing Contractors, Inc.|CSR Roofing Contractors, Inc.|51|73875||csr roofing||||
CYE Enterprises Inc|CYE Enterprises Inc|22|36652|770635487|cye||||CYE Enterprises Inc.
Cairo Builder, Inc.|Cairo Builder, Inc.|25|11580|843645900|cairo builder||||
Campany Roof Maintenance LLC|Campany Roof Maintenance LLC|25|45880|270278579|campany roof maintenance||||Campany Roof Maintenance LLC
Campany Roof Maintenance Roofing Division LLC|Campany Roof Maintenance Roofing Division LLC|70|140291|472451226|campany roof maintenance roofing division||||
Canopy Services Group|Canopy Services Group|85|105351||canopy||||
Capitol Roofing Inc.|Capitol Roofing Inc.|26|52000|830328938|capitol roofing||||Capitol Roofing Inc.
Cardinal Roofing & Siding Company Inc.|Cardinal Roofing & Siding Company Inc.|84|152734|651044422|cardinal roofing & siding||||
Cardinal Roofing, Inc.|Cardinal Roofing, Inc.|56|121607|751802132|cardinal roofing||||Cardinal Roofing Inc.
Care Sheet Metal & Roofing, Inc.|Care Sheet Metal & Roofing, Inc.|27|29220|362837929|care sheet metal & roofing||||
Carlon Roofing & Sheet Metal, Inc.|Carlon Roofing & Sheet Metal, Inc.|64|76485|611172306|carlon roofing & sheet metal||||Carlon Roofing & Sheet Metal Company
Carlson Racine Roofing and Sheet Metal Inc.|Carlson Racine Roofing and Sheet Metal Inc.|47|80927|390833065|carlson racine roofing & sheet metal||||Carlson Racine Roofing and Sheet Metal Inc.
Carlson Roofing Company Inc|Carlson Roofing Company Inc|74|119883||carlson roofing||||Carlson Roofing Company Inc.
Cedar Roofing Company|Cedar Roofing Company|27|56160|830344362|cedar roofing||||Cedar Roofing Co. LLC
Celoseal Roofing Inc.|Celoseal Roofing Inc.|70|115000|952647166|celoseal roofing||||Celoseal Roofing Inc.
Centennial, CO|Centennial, CO|32|58652|832750109|centennial||||
CentiMark Corporation|CentiMark Corporation|1920|3156024|251194990|centimark|||CentiMark Corporation|CentiMark Corporation
Central Florida Exterior|Central Florida Exterior|30|62915|593638281|central florida exterior||||
Central Homes LLC|Central Homes LLC|130|270400|364694639|central homes||||
Central States Roofing|Central States Roofing|54|97501|420939475|central states roofing||||Central States Roofing Co.
Chandler Roofing and Construction Inc|Chandler Roofing and Construction Inc|9|18164|261893541|chandler roofing||||
Charlottesville Roofing Inc. dba Martin Roofing and Sheet Metal|Charlottesville Roofing Inc. dba Martin Roofing and Sheet Metal|10|15979|541591121|charlottesville roofing inc. dba martin roofing & sheet metal||||
Charter Roofing Co., Inc.|Charter Roofing Co., Inc.|45|111272|742123832|charter roofing||||Charter Roofing Inc.
Citadel Roofing and Solar|Citadel Roofing and Solar|784|1450489|473949736|citadel roofing & solar|Citadel Roofing & Solar|www.citadelrs.com||
Citiroof Corp|Citiroof Corp|60|128228|521674803|citiroof||||CitiRoof Corp.
CityScape Roofing, Inc.|CityScape Roofing, Inc.|19|40573|200880458|cityscape roofing||||
Clark Roofing Co.|Clark Roofing Co.|99|182197|362135661|clark roofing||||Clark Roofing Inc.
Coastal Commercial Roofing Co Inc|Coastal Commercial Roofing Co Inc|20|37247|010587942|coastal commercial roofing||||
Coastal Roofing Systems of Amelia LLC|Coastal Roofing Systems of Amelia LLC|27|35544|825152032|coastal roofing systems of amelia||||
Coatings Application & Waterproofing Co.|Coatings Application & Waterproofing Co.|52|102592|430889860|coatings application & waterproofing||||
Coatings Application & Waterproofing of Georgia LLC|Coatings Application & Waterproofing of Georgia LLC|8|13356|262602347|coatings application & waterproofing of georgia||||
Cobblestone Enterprises, Inc.|Cobblestone Enterprises, Inc.|17|28203|150246460|cobblestone||||
