company_name|osha_company_name|annual_average_employees|total_hours_worked|ein|stripped_company_name|pitchbook_list_company_name|pitchbook_list_website|top100_company_name|nrca_list_company_name
C&J Harrison Roofing Services||0|0||c & j harrison roofing|C&J Harrison Roofing Services|candjharrisonroofingservices.co.uk||
C&N Construction, Inc.||0|0||c & n|||C&N Construction, Inc.|
C Hynes Roofing Services||0|0||c hynes roofing|C Hynes Roofing Services|chynesroofing.co.uk||
C J Roofing Services||0|0||c j roofing|C J Roofing Services|roofingcountydurham.co.uk||
C S Roofing Contractors||0|0||c s roofing|C S Roofing Contractors|roofersineastbourne.com||
C. J. S. Roofing Contractors||0|0||c. j. s. roofing|C. J. S. Roofing Contractors|cjsroofing.co.uk||
C.H.I. Roofing||0|0||c.h.i. roofing|C.H.I. Roofing|731roof.com||
CA Group (Building Products)||0|0||ca|CA Group (Building Products)|www.cagroup.co.uk||
Caden Roofing Services||0|0||caden roofing|Caden Roofing Services|cadenroofing.com||
Cal's Roofing||0|0||cal's roofing|Cal's Roofing|calsroofing.com||
Cambie Roofing Contractors||0|0||cambie roofing|Cambie Roofing Contractors|cambieroofing.com||
Cambridge Wilson & Co.||0|0||cambridge wilson|Cambridge Wilson & Co.|www.cwcroofing.com|Cambridge Wilson & Co.|
Camp Facility Services||0|0||camp facility|Camp Facility Services|www.campfs.com||
Campany Roofing||0|0||campany roofing|Campany Roofing|campanyroofing.com||
campbell roofing materials co||0|0||campbell roofing materials|campbell roofing materials co|campbellroofingco.com||
Cannon Roofing||0|0||cannon roofing|Cannon Roofing|www.cannonroofing.com||
Canopy Home Exteriors||0|0||canopy home exteriors|Canopy Home Exteriors|canopyhomeexteriors.com||
CanPro Roofing Partners||0|0||canpro roofing|CanPro Roofing Partners|www.canproroofing.com||
Capital Roofing Contractors||0|0||capital roofing|Capital Roofing Contractors|capitalroofingcontractors.com||
Capital Roofing & Building Services||0|0||capital roofing & building|Capital Roofing & Building Services|capitalroofs.co.uk||
Capital Roofing Services Edinburgh||0|0||capital roofing services edinburgh|Capital Roofing Services Edinburgh|capitalroofingservicesedinburgh.co.uk||
Cardinal Roofing and Restoration||0|0||cardinal roofing & restoration|Cardinal Roofing and Restoration|www.cardinal-roof.com||
Carmen Roofing Services||0|0||carmen roofing|Carmen Roofing Services|www.carmenroofing.com||
Carpenter's Roofing & Sheet Metal||0|0||carpenter's roofing & sheet metal|Carpenter's Roofing & Sheet Metal|www.carpentersroofing.com||
CARRILLO ROOFING SERVICES||0|0||carrillo roofing|CARRILLO ROOFING SERVICES|carrilloroofingswf.com||
Carroll & Sons Roofing||0|0||carroll & sons roofing|Carroll & Sons Roofing|www.carrollsons.com||
Carter Roofing Services||0|0||carter roofing|Carter Roofing Services|carter-roofing.co.uk||
Carvil Jones Roofing Contractors||0|0||carvil jones roofing|Carvil Jones Roofing Contractors|southcheshireroofing.co.uk||
Castile Roofing||0|0||castile roofing|Castile Roofing|www.castileroofing.com||
Castle Damp-Proofing||0|0||castle damp-proofing|Castle Damp-Proofing|castledampproofing.co.uk||
Cater (Roofing Contractors)||0|0||cater|Cater (Roofing Contractors)|caterroofing.co.uk||
Cb Roofing Services||0|0||cb roofing|Cb Roofing Services|cbroofingsalisbury.co.uk||
CCR Roofing Services||0|0||ccr roofing|CCR Roofing Services|ccrroofingkc.com||
CeDUR||0|0||cedur|CeDUR|www.cedur-roofing.squarespace.com||
Centennial Roofing (Other Commercial Services)||0|0||centennial roofing|Centennial Roofing (Other Commercial Services)|www.centennialroofllc.com||
CENTRAL||0|0||central|CENTRAL|Roofing||
Central Roofing Illinois||0|0||central roofing illinois|Central Roofing Illinois|www.centralroofingllc.net||
Centre Point Roofing Services||0|0||centre point roofing|Centre Point Roofing Services|centrepointroofing.co.uk||
CertainTeed||0|0||certainteed|CertainTeed|www.certainteed.com||
Certified Roofing General Contractors||0|0||certified roofing general|Certified Roofing General Contractors|certifiedroofco.com||
Chamberlin Roofing & Waterproofing||0|0||chamberlin roofing & waterproofing|Chamberlin Roofing & Waterproofing|www.chamberlinltd.com||
Chattanooga Roofing Contractors||0|0||chattanooga roofing|Chattanooga Roofing Contractors|chattanoogacontractorsgroup.com||
Childers Roofing & Sheetmetal||0|0||childers roofing & sheetmetal|Childers Roofing & Sheetmetal|www.childersroofing.net||
Chinook Building Envelope Services||0|0||chinook building envelope|||Chinook Building Envelope Services|
Choufani & Bailey Roofing & Restoration||0|0||choufani & bailey roofing & restoration|Choufani & Bailey Roofing & Restoration|www.choufaniandbailey.com||
Chris Andersen Roofing and Erecting||0|0||chris andersen roofing & erecting|Chris Andersen Roofing and Erecting|www.chrisandersenroofing.com||
Christianson Roofing||0|0||christianson roofing|Christianson Roofing|www.christiansonroofing.com||
Cincinnati Roofing Contractor||0|0||cincinnati roofing contractor|Cincinnati Roofing Contractor|cincinnati-roofing-contractor.com||
Circle L Roofing & General Contractors||0|0||circle l roofing & general|Circle L Roofing & General Contractors|circlelroofingtx.com||
Citrus Roofing Contractors||0|0||citrus roofing|Citrus Roofing Contractors|citrusroofing.com||
City Roofing And Asphalt Services||0|0||city roofing & asphalt|City Roofing And Asphalt Services|cityroofing.eu||
CJ Roofing||0|0||cj roofing|CJ Roofing|www.cjroofing.com||
Cj's Roofing||0|0||cj's roofing|Cj's Roofing|cjsroofingandbuilding.co.uk||
Cladding & Roofing Contractors||0|0||cladding & roofing|Cladding & Roofing Contractors|claddingandroofing.com.au||
Clark's Quality Roofing||0|0||clark's quality roofing|Clark's Quality Roofing|www.clarkroof.com||
Clarke Building And Roofing Services||0|0||clarke building & roofing|Clarke Building And Roofing Services|clarkebuildingandroofingservices.co.uk||
Classic Roofing and Construction||0|0||classic roofing|Classic Roofing and Construction|www.classicroofreplacement.com||
Clay Roofing Services||0|0||clay roofing|Clay Roofing Services|clayroofingservices.co.uk||
Clayton Roofing Contractor||0|0||clayton roofing contractor|Clayton Roofing Contractor|claytonroofingcontractor.com||
CLC Commercial Roofing||0|0||clc commercial roofing|CLC Commercial Roofing|www.clccommercialroofing.com||
Clover Roofing Services||0|0||clover roofing|Clover Roofing Services|cloverroofing.co.uk||
Cls Roofing Specialists||0|0||cls roofing specialists|Cls Roofing Specialists|clsroofingspecialists.co.uk||
Clydevalley Roofing & Cladding Services||0|0||clydevalley roofing & cladding|Clydevalley Roofing & Cladding Services|unknown||
CMAC Roofing||0|0||cmac roofing|CMAC Roofing|cmacroofing.com|CMAC Roofing|
Cmh Leadwork And Roofing Services||0|0||cmh leadwork & roofing|Cmh Leadwork And Roofing Services|cmhleadwork.co.uk||
CNY Roofing||0|0||cny roofing|CNY Roofing|www.cnyroofingco.com||
Coast To Coast Roofing & Building Contractors||0|0||coast to coast roofing & building|Coast To Coast Roofing & Building Contractors|c2croofs.com||
Coastal Construction Roofing & Restoration||0|0||coastal construction roofing & restoration|Coastal Construction Roofing & Restoration|www.ccrrllc.com||
Coastal Roofing Services||0|0||coastal roofing|Coastal Roofing Services|coastalrga.com||
Cobalt Scaffolding||0|0||cobalt scaffolding|Cobalt Scaffolding|ems-scaffoldingandroofing.co.uk||
Cole's Gutters & Roofing Services||0|0||cole's gutters & roofing|Cole's Gutters & Roofing Services|colesguttersandroofingservices.uk||
Coleman Roofing & Construction||0|0||coleman roofing|||Coleman Roofing & Construction|
Columbia Roofing And Sheet Metal||0|0||columbia roofing & sheet metal|Columbia Roofing And Sheet Metal|reroofnow.com||
Commercial Roofing Contractor||0|0||commercial roofing contractor|Commercial Roofing Contractor|www.yourcommercialroofer.com||
Commercial Roofing Contractors / Crc Home Services||0|0||commercial roofing contractors / crc home|Commercial Roofing Contractors / Crc Home Services|410roofthis.com||
Complete Roofing Services (Scotland)||0|0||complete roofing|Complete Roofing Services (Scotland)|crs-roofing-fife.com||
Complete Roofing & Building Services||0|0||complete roofing & building|Complete Roofing & Building Services|unknown||
Congoleum||0|0||congoleum|Congoleum|www.congoleum.com||
Conner Roofing||0|0||conner roofing|Conner Roofing|connerroofing.com||
Contractor BG||0|0||contractor bg|Contractor BG|www.contractorbg.com||
Contractors Roofing & Supply Co.||0|0||contractors roofing & supply|Contractors Roofing & Supply Co.|contractorsroofing.com||
Contractors Siding, Windows & Roofing Supply||0|0||contractors siding windows & roofing supply|Contractors Siding, Windows & Roofing Supply|www.contractorssupply.net||
Coopers Roofing Contractors||0|0||coopers roofing|Coopers Roofing Contractors|coopersroofing.co.uk||
Core Roofing Systems||0|0||core roofing|Core Roofing Systems|www.coreroofing.net||
Cornerstone Construction||0|0||cornerstone|Cornerstone Construction|www.cornerstoneroofingandsolar.com||
Cousins Building And Roofing Services||0|0||cousins building & roofing|Cousins Building And Roofing Services|cousinsbuilders.co.uk||
Coventry & Warwickshire Building & Roofing Services||0|0||coventry & warwickshire building & roofing|Coventry & Warwickshire Building & Roofing Services|apmroofingltd.co.uk||
Cr Roofing Services||0|0||cr roofing|Cr Roofing Services|crroofingservicesltd.com||
Cra Roofing Specialist||0|0||cra roofing specialist|Cra Roofing Specialist|unknown||
Crabapple Roofing Contractors, LLC||0|0||crabapple roofing|||Crabapple Roofing Contractors, LLC|
Craftsman Roofing Services||0|0||craftsman roofing|Craftsman Roofing Services|www.craftsmanroofingva.com||
Cram Roofing||0|0||cram roofing|Cram Roofing|www.cramroofing.com||
Crest Brick Slate and Tile||0|0||crest brick slate & tile|Crest Brick Slate and Tile|www.crest-bst.co.uk||
Cresta Roofing Services||0|0||cresta roofing|Cresta Roofing Services|crestaroofingservices.co.uk||
CRH Insulation Europe||0|0||crh insulation europe|CRH Insulation Europe|unknown||
CRM Roofing||0|0||crm roofing|CRM Roofing|www.crmroofing.com||
Crosby Roofing & Seamless Gutters||0|0||crosby roofing & seamless gutters|||Crosby Roofing & Seamless Gutters|
Crown Industrial Roofing||0|0||crown industrial roofing|Crown Industrial Roofing|www.crownroofing.ca||
Crowther Roofing And Cooling||0|0||crowther roofing & cooling|Crowther Roofing And Cooling|www.crowther.net||
Custom Roofing||0|0||custom roofing|Custom Roofing|unknown||
Cw Roofing And Building Services||0|0||cw roofing & building|Cw Roofing And Building Services|doncasterroofers.co.uk||
D & G Roofing Contractors||0|0||d & g roofing|D & G Roofing Contractors|www.dgroofingcontractorsal.com||
D & S Roofing Single Ply Contractors||0|0||d & s roofing single ply|D & S Roofing Single Ply Contractors|dsroofingtadley.co.uk||
D J F Roofing Services||0|0||d j f roofing|D J F Roofing Services|fands-roofing.co.uk||
D J Roofing Contractors||0|0||d j roofing|D J Roofing Contractors|djroofingcontractors.uksite.biz||
D M B Flat Roofing & Building Services||0|0||d m b flat roofing & building|D M B Flat Roofing & Building Services|dmbflatroofing.yolasite.com||
D M Roofing Services||0|0||d m roofing|D M Roofing Services|dmroofingservices.com||
D P Mcnair Roofing Contractors||0|0||d p mcnair roofing|D P Mcnair Roofing Contractors|dpmcnair.co.uk||
D Sewell Roofing Contractor||0|0||d sewell roofing contractor|D Sewell Roofing Contractor|dsewellroofing.co.uk||
D Townsend Roofing Services||0|0||d townsend roofing|D Townsend Roofing Services|dtownsendroofing.co.uk||
D Walker Roofing Specialist||0|0||d walker roofing specialist|D Walker Roofing Specialist|dwalkerroofing.co.uk||
D'Agostino Roofing||0|0||d'agostino roofing|D'Agostino Roofing|dagostinoroofing.com||
d-7 Roofing LLC|d-7 Roofing LLC|355|718106|743193913|d-7 roofing||||
D. Kerrigan Slaters & Roofing Contractors||0|0||d. kerrigan slaters & roofing|D. Kerrigan Slaters & Roofing Contractors|unknown||
D.A. Bridger Asphalte Roofing Contractors||0|0||d.a. bridger asphalte roofing|D.A. Bridger Asphalte Roofing Contractors|unknown||
D.Garrison Roofing||0|0||d.garrison roofing|D.Garrison Roofing|www.dgarrisonroofing.com||
D.J. Roofing Supply||0|0||d.j. roofing supply|D.J. Roofing Supply|djroofingsupply.com||
D.J. Scriven Roofing Contractors||0|0||d.j. scriven roofing|D.J. Scriven Roofing Contractors|djscrivenroofing.co.uk||
D.M. Roofing & Construction Services||0|0||d.m. roofing|D.M. Roofing & Construction Services|dmroofing.ca||
D.P. Roofing||0|0||d.p. roofing|D.P. Roofing|dproofing.co.uk||
Dalco Contractors & Roofing||0|0||dalco contractors & roofing|Dalco Contractors & Roofing|BBB A+||
Dale Roberts Construction||0|0||dale roberts|Dale Roberts Construction|dalerobertsconstruction.co.uk||
Dalkeith Roofing Services||0|0||dalkeith roofing|Dalkeith Roofing Services|dalkeithroofingservices.com||
Dallas Commercial Roofs||0|0||dallas commercial roofs|Dallas Commercial Roofs|www.dallascommercialroofs.com||
Damage and Recovery Solutions||0|0||damage & recovery|Damage and Recovery Solutions|www.damagerecoverysolutions.com||
Dan's Roofing||0|0||dan's roofing|Dan's Roofing|dansroofingincorporated.com||
Darlington Roofing Contractors||0|0||darlington roofing|Darlington Roofing Contractors|darlingtonroofingcontractors.co.uk||
Davis Roofing Services||0|0||davis roofing|Davis Roofing Services|davisroofingservices.co.uk||
Davis Roofing And Building Services||0|0||davis roofing & building|Davis Roofing And Building Services|davisroofing.co.uk||
Dayton Roofing & Renovation||0|0||dayton roofing & renovation|Dayton Roofing & Renovation|www.daytoncontractingaustin.com||
DBS ROOFING AND GENERAL CONTRACTORS||0|0||dbs roofing & general|DBS ROOFING AND GENERAL CONTRACTORS|dbsroofingcontractors.com||
DECRA Metal Roofing||0|0||decra metal roofing|DECRA Metal Roofing|www.decra.com||
Delta Roofing Services||0|0||delta roofing|Delta Roofing Services|deltaroofing.co.uk||
Deluxe Roofing Contractors & Suppliers||0|0||deluxe roofing contractors & suppliers|Deluxe Roofing Contractors & Suppliers|deluxeroofing.co.uk||
Derek Lyall Home Improvements||0|0||derek lyall home improvements|Derek Lyall Home Improvements|unknown||
Design Roofing & General Contractors||0|0||design roofing & general|Design Roofing & General Contractors|design-roofing.com||
Designer Roofing||0|0||designer roofing|Designer Roofing|Roofing Contractor||
Devereux Roofing Services||0|0||devereux roofing|Devereux Roofing Services|devereuxroofing.com||
dGen Energy Partners||0|0||dgen energy|||dGen Energy Partners|
Dh Roofing Services||0|0||dh roofing|Dh Roofing Services|dhroofingservices.co.uk||
Diamond Everley Roofing Contractors||0|0||diamond everley roofing|Diamond Everley Roofing Contractors|diamondeverley.com||
Diamond Roofing & Guttering Services||0|0||diamond roofing & guttering|Diamond Roofing & Guttering Services|unknown||
DiGiorgi Roofing & Siding||0|0||digiorgi roofing & siding|DiGiorgi Roofing & Siding|www.digiorgiinc.com||
Direct Roofing Services||0|0||direct roofing|Direct Roofing Services|directroofing.co.uk||
Direct Roofing & Landscaping Contractors||0|0||direct roofing & landscaping|Direct Roofing & Landscaping Contractors|unknown||
Djs Roofing Services||0|0||djs roofing|Djs Roofing Services|djsroofingservices.com||
Dodds Roofing Services||0|0||dodds roofing|Dodds Roofing Services|www.doddsroofing.co.uk||
Dominion Siding||0|0||dominion siding|Dominion Siding|dominionx.com||
Donaldson Door Systems||0|0||donaldson door|Donaldson Door Systems|www.donaldsondoorsystems.co.uk||
Done Right Roofing Services||0|0||done right roofing|Done Right Roofing Services|donerightroofing.co.uk||
Doug Oliver Development Residential & Commercial Roofing Contractors||0|0||doug oliver development residential & commercial roofing|Doug Oliver Development Residential & Commercial Roofing Contractors|dougoliverdevelopment.com||
DR. Roofing||0|0||dr. roofing|DR. Roofing|oklahomaroofingcontractor.net||
Dri-Con Roofing||0|0||dri-con roofing|Dri-Con Roofing|www.driconroofing.com||
Drohan Builders||0|0||drohan builders|Drohan Builders|drohanbuildersltd.co.uk||
Dry-Line Roofing||0|0||dry-line roofing|Dry-Line Roofing|drylineroofingsolutions.co.uk||
Dry-Tech Commercial Roofing Services||0|0||dry-tech commercial roofing|Dry-Tech Commercial Roofing Services|www.drytechroofing.com||
Drytech Roofing||0|0||drytech roofing|Drytech Roofing|www.drytechroofingcompany.com||
DSS Roofing||0|0||dss roofing|DSS Roofing|Contractor in Buffalo||
Dsy Roofing & Building Contractors||0|0||dsy roofing & building|Dsy Roofing & Building Contractors|dsycontractors.net||
