company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|website|match_company_name|stripped_company_name|company_name_multiple_match
Contractors Roofing & Supply Co.|||||||contractorsroofing.com||contractors roofing & supply|false
Contractors Siding, Windows & Roofing Supply|||||||www.contractorssupply.net||contractors siding, windows & roofing supply|false
Coopers Roofing Contractors|||||||coopersroofing.co.uk||coopers roofing|false
Core Roofing Systems|||||||www.coreroofing.net||core roofing|false
Corey Construction||1|42|103|206770|464045602|www.coreyconstruction.net|'Corey Management Group, LLC'|corey|false
Cornerstone Construction||1|47|813|1388876|301166683, 362936229, 464698321, 611810761|www.cornerstoneroofingandsolar.com|'Cornerstone'|cornerstone|true
Cotton Holdings||1|42|102|147865|200800225|www.cottonholdings.com|'COTTON PARTNERS LLC'|cotton|true
Cousins Building And Roofing Services|||||||cousinsbuilders.co.uk||cousins building and roofing|false
Coventry & Warwickshire Building & Roofing Services|||||||apmroofingltd.co.uk||coventry & warwickshire building & roofing|false
Cr Roofing Services|||||||crroofingservicesltd.com||cr roofing|false
Cra Roofing Specialist|||||||unknown||cra roofing specialist|false
Craftsman Roofing Services|||||||www.craftsmanroofingva.com||craftsman roofing|false
Cram Roofing|||||||www.cramroofing.com||cram roofing|false
Crest Brick Slate and Tile|||||||www.crest-bst.co.uk||crest brick slate and tile|false
Cresta Roofing Services|||||||crestaroofingservices.co.uk||cresta roofing|false
